CODIGO_UPGRADE;EQUIPAMENTO1;ANTIGO1;NOVO1;EQUIPAMENTO2;ANTIGO2;NOVO2;EQUIPAMENTO3;ANTIGO3;NOVO3;EQUIPAMENTO4;ANTIGO4;NOVO4;EQUIPAMENTO5;ANTIGO5;NOVO5;EQUIPAMENTO6;ANTIGO6;NOVO6;EQUIPAMENTO7;ANTIGO7;NOVO7;EQUIPAMENTO8;ANTIGO8;NOVO8;EQUIPAMENTO9;ANTIGO9;NOVO9
133;TAP;2/23/600;2/8/1;;;;;;;;;;;;;;;;;;;;;;;;
134;AMPLIFICADOR;LE/600;-;;;;;;;;;;;;;;;;;;;;;;;;
135;TAP;8/24/600;8/21/1;AMPLIFICADOR;-;LE/1;;;;;;;;;;;;;;;;;;;;;
136;EQUALIZADOR DE LINHA;EQ/600;-;TAP;4/11/600;4/8/1;;;;;;;;;;;;;;;;;;;;;
137;TAP;8/15/600;8/12/1;;;;;;;;;;;;;;;;;;;;;;;;
138;TAP;4/20/600;4/17/1;;;;;;;;;;;;;;;;;;;;;;;;
139;TAP;8/24/600;8/21/1;;;;;;;;;;;;;;;;;;;;;;;;
140;ACOPLADOR;DC8/600;DC12/1;TAP;4/11/600;4/14/1;;;;;;;;;;;;;;;;;;;;;
141;TAP;4/11/600;4/8/1;EQUALIZADOR DE LINHA;EQ/600;-;;;;;;;;;;;;;;;;;;;;;
142;TAP;8/15/600;8/18/1;TAP;2/17/600;2/14/1;;;;;;;;;;;;;;;;;;;;;
143;AMPLIFICADOR;LE/600;HGD/1;ACOPLADOR;-;2WAY/1;TAP;8/24/600;8/18/1;;;;;;;;;;;;;;;;;;
144;TAP;2/8/600;2/4/1;;;;;;;;;;;;;;;;;;;;;;;;
145;TAP;4/20/600;4/17/1;;;;;;;;;;;;;;;;;;;;;;;;
146;TAP;4/23/600;4/17/1;;;;;;;;;;;;;;;;;;;;;;;;
147;TAP;8/18/600;8/12/1;;;;;;;;;;;;;;;;;;;;;;;;
148;AMPLIFICADOR;-;LE/1;ACOPLADOR;-;DC12/1;TAP;4/23/600;4/11/1;;;;;;;;;;;;;;;;;;
149;TAP;8/24/600;8/21/1;;;;;;;;;;;;;;;;;;;;;;;;
150;AMPLIFICADOR;LE/600;-;TAP;2/23/600;2/4/1;;;;;;;;;;;;;;;;;;;;;
151;EQUALIZADOR DE LINHA;EQ/600;-;;;;;;;;;;;;;;;;;;;;;;;;
152;ACOPLADOR;3WAY/600;DC12/1;TAP;2/23/600;2/20/1;;;;;;;;;;;;;;;;;;;;;
153;TAP;2/17/600;2/20/1;;;;;;;;;;;;;;;;;;;;;;;;
154;AMPLIFICADOR;LE/600;LE/1;TAP;8/24/600;8/21/1;;;;;;;;;;;;;;;;;;;;;
155;ACOPLADOR;3WAY/600;DC12/1;TAP;2/17/600;2/20/1;;;;;;;;;;;;;;;;;;;;;
156;TAP;8/15/600;8/18/1;;;;;;;;;;;;;;;;;;;;;;;;
157;AMPLIFICADOR;LE/600;HGD/1;ACOPLADOR;DC12/600;DC8/1;ACOPLADOR;2WAY/600;-;TAP;8/15/600;8/21/1;;;;;;;;;;;;;;;
158;TAP;8/18/600;8/12/1;;;;;;;;;;;;;;;;;;;;;;;;
159;TAP;4/11/600;4/14/1;;;;;;;;;;;;;;;;;;;;;;;;
160;TAP;4/17/600;4/20/1;;;;;;;;;;;;;;;;;;;;;;;;
161;TAP;8/18/600;8/21/1;;;;;;;;;;;;;;;;;;;;;;;;
162;AMPLIFICADOR;LE/600;HGD/1;TAP;8/24/600;8/21/1;;;;;;;;;;;;;;;;;;;;;
163;AMPLIFICADOR;LE/600;LE/1;ACOPLADOR;DC12/600;DC8/1;TAP;8/15/600;8/21/1;;;;;;;;;;;;;;;;;;
164;TAP;8/21/600;8/12/1;;;;;;;;;;;;;;;;;;;;;;;;
165;TAP;2/23/600;2/17/1;;;;;;;;;;;;;;;;;;;;;;;;
166;TAP;8/24/600;8/18/1;;;;;;;;;;;;;;;;;;;;;;;;
167;TAP;8/15/600;8/12/1;;;;;;;;;;;;;;;;;;;;;;;;
168;TAP;2/17/600;2/20/1;;;;;;;;;;;;;;;;;;;;;;;;
169;TAP;8/15/600;8/21/1;;;;;;;;;;;;;;;;;;;;;;;;
170;TAP;8/24/600;8/21/1;;;;;;;;;;;;;;;;;;;;;;;;
171;TAP;4/8/600;4/20/1;;;;;;;;;;;;;;;;;;;;;;;;
172;TAP;8/15/600;8/21/1;;;;;;;;;;;;;;;;;;;;;;;;
173;TAP;8/18/600;8/21/1;;;;;;;;;;;;;;;;;;;;;;;;
174;TAP;2/17/600;2/14/1;TAP;8/15/600;8/12/1;;;;;;;;;;;;;;;;;;;;;
175;ACOPLADOR;-;DC12/1;TAP;8/24/600;8/12/1;AMPLIFICADOR;LE/600;-;;;;;;;;;;;;;;;;;;
176;AMPLIFICADOR;HGD/600;HGBT/1;ACOPLADOR;DC12/600;DC8/1;TAP;2/23/600;2/20/1;;;;;;;;;;;;;;;;;;
177;TAP;4/14/600;4/8/1;;;;;;;;;;;;;;;;;;;;;;;;
178;TAP;4/23/600;4/17/1;;;;;;;;;;;;;;;;;;;;;;;;
179;TAP;4/23/600;4/20/1;;;;;;;;;;;;;;;;;;;;;;;;
180;AMPLIFICADOR;LE/600;HGD/1;TAP;2/8/600;2/23/1;;;;;;;;;;;;;;;;;;;;;
181;EQUALIZADOR DE LINHA;EQ/600;-;TAP;2/11/600;2/8/1;;;;;;;;;;;;;;;;;;;;;
182;TAP;4/23/600;4/20/1;;;;;;;;;;;;;;;;;;;;;;;;
183;TAP;4/14/600;4/20/1;ACOPLADOR;-;2WAY/1;;;;;;;;;;;;;;;;;;;;;
184;TAP;4/11/600;4/14/1;;;;;;;;;;;;;;;;;;;;;;;;
185;TAP;2/14/600;2/17/1;;;;;;;;;;;;;;;;;;;;;;;;
186;TAP;4/11/600;4/14/1;;;;;;;;;;;;;;;;;;;;;;;;
187;TAP;4/23/600;4/20/1;;;;;;;;;;;;;;;;;;;;;;;;
188;TAP;8/24/600;8/21/1;;;;;;;;;;;;;;;;;;;;;;;;
189;AMPLIFICADOR;HGD/600;HGBT/1;;;;;;;;;;;;;;;;;;;;;;;;
190;TAP;4/23/600;4/14/1;;;;;;;;;;;;;;;;;;;;;;;;
